Date,ID,Gender,Age,Shift
2020-01-01,438312,Male,25,Night
2020-01-03,438333,Female,18,Day
2020-01-03,438334,Male,35,Day
2020-01-04,438345,Female,50,Day
2020-01-07,438376,Male,25,Day
2020-01-11,438417,Male,25,Day
2020-01-11,438418,Female,50,Night
2020-01-12,438429,Male,35,Night
2020-01-15,4384510,Male,19,Night
2020-01-16,4384611,Male,50,Night
2020-01-18,4384812,Female,35,Night
2020-01-23,4385313,Male,35,Night
2020-01-26,4385614,Male,35,Day
2020-01-27,4385715,Male,50,Day
2020-01-27,4385716,Male,35,Night
2020-01-27,4385717,Male,50,Day
2020-01-30,4386018,Male,35,Day
2020-01-30,4386019,Male,22,Night
2020-02-01,4386220,Male,50,Night
2020-02-03,4386421,Male,36,Night
2020-02-04,4386522,Male,21,Night
2020-02-09,4387023,Male,25,Night
2020-02-09,4387024,Male,36,Night
2020-02-10,4387125,Male,36,Day
2020-02-10,4387126,Male,36,Night
2020-02-11,4387227,Male,25,Night
2020-02-12,4387328,Male,50,Night
2020-02-13,4387429,Male,25,Night
2020-02-13,4387430,Male,50,Night
2020-02-14,4387531,Male,25,Night
2020-02-16,4387732,Male,50,Day
2020-02-17,4387833,Female,36,Night
2020-02-19,4388034,Female,36,Day
2020-02-20,4388135,Male,25,Night
2020-02-22,4388336,Male,25,Night
2020-02-27,4388837,Male,50,Night
2020-02-28,4388938,Male,50,Night
2020-03-01,4389139,Male,20,Night
2020-03-03,4389340,Male,50,Day
2020-03-03,4389341,Male,36,Night
2020-03-06,4389642,Male,19,Day
2020-03-06,4389643,Male,25,Night
2020-03-07,4389744,Male,22,Night
2020-03-11,4390145,Male,36,Day
2020-03-12,4390246,Female,24,Day
2020-03-17,4390747,Male,25,Day
2020-03-20,4391048,Female,36,Day
2020-03-21,4391149,Male,36,Night
2020-03-23,4391350,Male,36,Night
2020-04-03,4392451,Male,18,Night
2020-04-04,4392552,Male,25,Day
2020-04-04,4392553,Male,36,Day
2020-04-04,4392554,Male,25,Night
2020-04-06,4392755,Male,21,Night
2020-04-07,4392856,Male,25,Night
2020-04-12,4393357,Male,25,Night
2020-04-13,4393458,Male,22,Day
2020-04-13,4393459,Female,50,Night
2020-04-14,4393560,Male,50,Night
2020-04-14,4393561,Male,50,Night
2020-04-15,4393662,Male,36,Night
2020-04-16,4393763,Male,50,Night
2020-04-17,4393864,Male,25,Night
2020-04-18,4393965,Male,25,Night
2020-04-21,4394266,Male,23,Night
2020-04-21,4394267,Female,22,Night
2020-04-22,4394368,Male,37,Day
2020-04-22,4394369,Male,24,Night
2020-04-24,4394570,Male,18,Day
2020-04-25,4394671,Female,50,Day
2020-04-27,4394872,Female,24,Day
2020-05-02,4395373,Male,25,Day
2020-05-04,4395574,Male,25,Day
2020-05-05,4395675,Male,50,Night
2020-05-07,4395876,Male,23,Night
2020-05-08,4395977,Male,22,Night
2020-05-08,4395978,Male,50,Night
2020-05-09,4396079,Male,37,Night
2020-05-10,4396180,Male,37,Day
2020-05-10,4396181,Male,37,Night
2020-05-11,4396282,Male,50,Night
2020-05-13,4396483,Male,37,Night
2020-05-13,4396484,Male,50,Night
2020-05-17,4396885,Male,37,Day
2020-05-17,4396886,Male,21,Night
2020-05-19,4397087,Male,25,Night
2020-05-21,4397288,Male,37,Night
2020-05-22,4397389,Male,37,Day
2020-05-23,4397490,Male,50,Night
2020-05-25,4397691,Male,25,Night
2020-05-26,4397792,Male,20,Day
2020-05-26,4397793,Male,37,Night
2020-05-29,4398094,Male,26,Day
2020-05-31,4398295,Male,37,Night
2020-05-31,4398296,Male,50,Night
2020-06-07,4398497,Male,50,Night
2020-06-10,4398998,Male,26,Night
2020-06-11,4399299,Male,18,Night
2020-06-12,43993100,Male,37,Night
2020-06-15,43994101,Male,20,Day
2020-06-15,43997102,Male,20,Day
2020-06-16,43997103,Male,19,Night
2020-06-16,43998104,Male,19,Day
2020-06-19,44001105,Female,26,Day
2020-06-23,44005106,Male,26,Night
2020-06-26,44008107,Male,51,Night
2020-06-27,44009108,Male,37,Night
2020-06-28,44010109,Female,26,Day
2020-06-30,44012110,Male,19,Day
2020-06-30,44012111,Male,19,Night
2020-07-01,44013112,Male,51,Night
2020-07-06,44018113,Male,19,Day
2020-07-06,44018114,Female,51,Day
2020-07-07,44019115,Male,26,Day
2020-07-10,44022116,Male,26,Night
2020-07-11,44023117,Male,19,Night
2020-07-12,44024118,Male,19,Night
2020-07-12,44024119,Male,26,Night
2020-07-13,44025120,Male,51,Day
2020-07-14,44026121,Male,21,Day
2020-07-16,44028122,Male,38,Night
2020-07-18,44030123,Male,38,Night
2020-07-19,44031124,Male,21,Night
2020-07-22,44034125,Male,21,Day
2020-07-26,44038126,Male,26,Night
2020-07-27,44039127,Male,26,Day
2020-07-28,44040128,Male,21,Night
2020-07-28,44040129,Male,51,Night
2020-07-30,44042130,Male,38,Night
2020-07-30,44042131,Female,38,Night
2020-08-01,44044132,Male,26,Night
2020-08-03,44046133,Male,38,Day
2020-08-04,44047134,Male,38,Day
2020-08-07,44050135,Male,38,Night
2020-08-09,44052136,Male,26,Night
2020-08-09,44052137,Male,38,Night
2020-08-10,44053138,Female,26,Day
2020-08-11,44054139,Male,51,Night
2020-08-12,44055140,Male,51,Night
2020-08-13,44056141,Male,38,Night
2020-08-13,44056142,Female,38,Night
2020-08-13,44056143,Male,38,Night
2020-08-15,44058144,Male,38,Night
2020-08-21,44064145,Male,38,Night
2020-08-21,44064146,Male,51,Night
2020-08-23,44066147,Female,38,Night
2020-08-25,44068148,Male,26,Day
2020-08-26,44069149,Male,38,Day
2020-08-27,44070150,Male,21,Day
2020-08-27,44070151,Female,39,Night
2020-08-30,44073152,Male,39,Night
2020-08-31,44074153,Female,21,Night
2020-09-05,44079154,Female,26,Day
2020-09-06,44080155,Male,51,Night
2020-09-07,44081156,Male,39,Day
2020-09-11,44085157,Male,21,Night
2020-09-13,44087158,Male,51,Night
2020-09-14,44088159,Male,39,Night
2020-09-16,44090160,Female,39,Day
2020-09-22,44096161,Male,26,Night
2020-09-23,44097162,Male,21,Night
2020-09-25,44099163,Male,39,Night
2020-09-27,44101164,Male,51,Night
2020-09-30,44104165,Male,39,Night
2020-10-04,44108166,Male,39,Day
2020-10-09,44113167,Male,51,Day
2020-10-11,44115168,Male,39,Night
2020-10-12,44116169,Male,21,Day
2020-10-12,44116170,Male,51,Night
2020-10-13,44117171,Male,26,Day
2020-10-13,44117172,Male,39,Night
2020-10-14,44118173,Male,26,Night
2020-10-16,44120174,Male,39,Day
2020-10-16,44120175,Male,52,Night
2020-10-17,44121176,Male,26,Night
2020-10-19,44123177,Female,27,Day
2020-10-22,44126178,Male,27,Night
2020-10-24,44128179,Male,52,Day
2020-10-26,44130180,Male,27,Night
2020-10-27,44131181,Male,27,Night
2020-10-27,44131182,Male,40,Night
2020-10-30,44134183,Male,40,Night
2020-11-07,44142184,Male,40,Day
2020-11-11,44146185,Male,22,Night
2020-11-12,44147186,Male,22,Night
2020-11-15,44150187,Male,40,Night
2020-11-16,44151188,Male,52,Day
2020-11-18,44153189,Male,52,Day
2020-11-19,44154190,Male,40,Night
2020-11-20,44155191,Female,40,Night
2020-11-22,44157192,Female,27,Day
2020-11-22,44157193,Male,40,Day
2020-11-24,44159194,Female,22,Night
2020-11-25,44160195,Female,27,Day
2020-11-29,44164196,Male,40,Day
2020-11-30,44165197,Male,27,Day
2020-11-30,44165198,Male,27,Day
2020-12-01,44166199,Male,27,Night
2020-12-03,44168200,Male,52,Day
2020-12-04,44169201,Female,28,Night
2020-12-04,44169202,Male,28,Night
2020-12-04,44169203,Male,28,Night
2020-12-06,44171204,Male,22,Night
2020-12-08,44173205,Male,52,Day
2020-12-08,44173206,Male,22,Night
2020-12-09,44174207,Male,22,Night
2020-12-10,44175208,Male,22,Day
2020-12-11,44176209,Male,22,Night
2020-12-12,44177210,Male,52,Night
2020-12-16,44181211,Male,40,Night
2020-12-18,44183212,Male,41,Night
2020-12-23,44188213,Male,28,Night
2020-12-23,44188214,Male,22,Night
2020-12-24,44189215,Male,28,Night
2020-12-25,44190216,Male,28,Night
2020-12-25,44190217,Male,41,Night
2020-12-27,44192218,Male,28,Day
2020-12-27,44192219,Male,28,Day
2020-12-30,44195220,Male,22,Day
2020-12-30,44195221,Male,52,Night
2020-12-31,44196222,Male,29,Day
2021-01-03,44199223,Female,29,Night
2021-01-03,44199224,Female,53,Night
2021-01-06,44202225,Male,41,Day
2021-01-07,44203226,Male,41,Night
2021-01-08,44204227,Male,41,Night
2021-01-08,44204228,Male,29,Night
